Methane 50.1 2.72 0 0 0 49.6 42.6 7.0
Ethane 47.1 2.85 0.001 0.001 0.013 45.7 34.1 11.6
Propane 46.0 2.85 0.005 0.001 0.024 43.7 31.2 12.5
Butane 45.4 2.85 0.007 0.003 0.029 42.6 29.6 13.0
Ethylene 48.0 2.72 0.013 0.005 0.043 41.5 27.3 14.2
Propylene 46.4 2.74 0.017 0.006 0.095 40.5 25.6 14.9
1,3-butadiene 44.6 2.46 0.048 0.014 0.125 33.6 15.4 18.2
Acetylene 47.8 2.60 0.042 0.013 0.096 36.7 18.7 18.0
