"PE (25% chlorine)" 31.6 1.71 0.042 0.016 0.115 22.6 10.0 12.6
"PE (36% chlorine)" 26.3 0.83 0.051 0.017 0.139 10.6 6.4 4.2
"PE (48% chlorine)" 20.6 0.59 0.049 0.015 0.134 7.2 3.9 3.3
"PVC" 16.4 0.46 0.063 0.023 0.172 5.7 3.1 2.6
