"Alkynes and Butadiene" C4H6 0.015 54 14.0 44.6 33.7 16.0 17.7 0.048 0.130
"Arenes" C6H6 0.007 78 13.2 40.1 28.1 11.9 16.2 0.064 0.171
"Arenes" C7H8 0.005 92 13.4 39.7 27.0 11.1 15.9 0.064 0.173
"Arenes" C8H8 0.006 104 13.2 39.4 27.2 11.2 16.0 0.066 0.178
"Arenes" C8H10 0.005 106 13.6 39.4 26.7 10.7 16.0 0.069 0.184
"Arenes" C8H10 0.006 106 13.6 39.4 27.2 11.2 16.0 0.065 0.175
"Arenes" C9H8 0.008 116 13.0 39.2 27.8 12.0 15.8 0.062 0.166
"Arenes" C9H12 0.009 120 13.7 39.2 28.1 12.4 15.8 0.057 0.155
"Arenes" C9H12 0.006 120 13.7 39.2 27.0 11.2 15.9 0.065 0.174
"Arenes" C9H12 0.006 120 13.7 39.2 27.0 11.2 15.9 0.065 0.174
"Arenes" C10H8 0.005 128 12.9 39.0 26.4 10.6 15.8 0.071 0.190
"Arenes" C10H12 0.006 132 13.5 39.0 26.9 11.1 15.8 0.065 0.176
"Arenes" C10H14 0.007 134 13.8 39.0 27.3 11.5 15.8 0.062 0.166
"Arenes" C10H14 0.007 134 13.8 39.0 27.3 11.5 15.8 0.062 0.166
"Arenes" C10H14 0.007 134 13.8 39.0 27.3 11.5 15.8 0.062 0.166
"Arenes" C11H10 0.006 142 13.0 38.9 26.8 11.1 15.8 0.067 0.180
"Arenes" C11H16 0.009 148 13.9 38.8 27.9 12.2 15.6 0.057 0.154
"Arenes" C12H12 0.006 156 13.2 38.8 26.8 11.0 15.7 0.066 0.178
"Arenes" C12H16 0.007 160 13.7 38.7 27.1 11.5 15.6 0.062 0.167
"Arenes" C12H18 0.007 162 14.0 38.7 27.1 11.5 15.6 0.061 0.165
"Arenes" C12H18 0.006 162 14.0 38.7 26.7 11.0 15.7 0.064 0.172
"Arenes" C21H36 0.007 288 14.3 38.1 26.7 11.3 15.4 0.060 0.162
"Arenes" (C8H8)n 0.015 200 13.2 39.2 27.0 11.0 16.1 0.060 0.166
"Aliphatic esters" C3H6O2 0.137 74 6.5 20.2 19.0 13.1 5.9 0.005 0.016
"Aliphatic esters" C4H8O2 0.114 88 7.8 23.9 22.1 14.6 7.5 0.007 0.023
"Aliphatic esters" C5H10O2 0.099 102 8.8 26.6 24.3 15.6 8.7 0.009 0.029
"Aliphatic esters" C3H6O2 0.137 74 6.5 20.2 19.0 13.1 5.9 0.005 0.016
"Aliphatic esters" C4H8O2 0.114 88 7.8 23.9 22.1 14.6 7.5 0.007 0.023
"Aliphatic esters" C5H10O2 0.099 102 8.8 26.6 24.3 15.6 8.7 0.009 0.029
"Aliphatic esters" C6H12O2 0.093 116 9.5 28.7 26.0 16.5 9.5 0.011 0.032
"Aliphatic esters" C6H12O2 0.093 116 9.5 28.7 26.0 16.5 9.5 0.011 0.032
"Aliphatic esters" C7H14O2 0.086 130 10.0 30.3 27.3 17.1 10.2 0.012 0.036
"Aliphatic esters" C8H14O2 0.083 142 10.2 31.5 28.2 17.6 10.7 0.013 0.039
"Aliphatic esters" C10H20O 0.077 172 11.2 33.6 29.9 18.3 11.6 0.015 0.043
"Aliphatic esters" C6H10O3 0.086 130 7.4 30.3 27.3 17.1 10.2 0.010 0.031
"Aliphatic esters" C4H8O2 0.114 88 7.8 23.9 22.1 14.6 7.5 0.007 0.023
"Aliphatic esters" C5H10O2 0.099 102 8.8 26.6 24.3 15.6 8.7 0.009 0.029
"Aliphatic esters" C7H14O2 0.086 130 10.0 30.3 27.3 17.1 10.2 0.012 0.036
"Aliphatic esters" C7H14O2 0.086 130 10.0 30.3 27.3 17.1 10.2 0.012 0.042
"Aliphatic esters" C8H16O2 0.082 144 10.5 31.6 28.3 17.5 10.8 0.013 0.024
"Aliphatic esters" C5H10O2 0.099 102 8.8 26.6 24.3 15.6 8.7 0.009 0.035
"Aliphatic esters" C6H12O2 0.093 116 9.5 28.7 26.0 16.5 9.5 0.011 0.038
"Aliphatic esters" C7H14O2 0.086 130 10.0 30.3 27.3 17.1 10.2 0.012 0.042
"Aliphatic esters" C8H16O2 0.082 144 10.5 31.6 28.3 17.5 10.8 0.013 0.039
"Aliphatic esters" C8H16O2 0.082 144 10.5 31.6 28.3 17.5 10.8 0.013 0.069
"Aliphatic esters" C14H28O2 0.196 228 12.0 37.2 36.3 27.3 9.1 0.002 0.004
